date,state,daily
2020-05-17,Malaysia,129
2020-05-18,Malaysia,247
2020-05-19,Malaysia,193
2020-05-20,Malaysia,193
2020-05-21,Malaysia,186
2020-05-22,Malaysia,139
2020-05-23,Malaysia,59
2020-05-24,Malaysia,22
2020-05-25,Malaysia,56
2020-05-26,Malaysia,127
2020-05-27,Malaysia,262
2020-05-28,Malaysia,209
2020-05-29,Malaysia,210
2020-05-30,Malaysia,135
2020-05-31,Malaysia,158
2020-06-01,Malaysia,294
2020-06-02,Malaysia,282
2020-06-03,Malaysia,385
2020-06-04,Malaysia,282
2020-06-05,Malaysia,258
2020-06-06,Malaysia,206
2020-06-07,Malaysia,177
2020-06-08,Malaysia,253
2020-06-09,Malaysia,581
2020-06-10,Malaysia,568
2020-06-11,Malaysia,462
2020-06-12,Malaysia,426
2020-06-13,Malaysia,345
2020-06-14,Malaysia,420
2020-06-15,Malaysia,653
2020-06-16,Malaysia,582
2020-06-17,Malaysia,637
2020-06-18,Malaysia,542
2020-06-19,Malaysia,306
2020-06-20,Malaysia,294
2020-06-21,Malaysia,217
2020-06-22,Malaysia,606
2020-06-23,Malaysia,694
2020-06-24,Malaysia,641
2020-06-25,Malaysia,589
2020-06-26,Malaysia,332
2020-06-27,Malaysia,342
2020-06-28,Malaysia,336
2020-06-29,Malaysia,606
2020-06-30,Malaysia,583
2020-07-01,Malaysia,701
2020-07-02,Malaysia,718
2020-07-03,Malaysia,391
2020-07-04,Malaysia,274
2020-07-05,Malaysia,323
2020-07-06,Malaysia,694
2020-07-07,Malaysia,660
2020-07-08,Malaysia,683
2020-07-09,Malaysia,756
2020-07-10,Malaysia,410
2020-07-11,Malaysia,368
2020-07-12,Malaysia,502
2020-07-13,Malaysia,823
2020-07-14,Malaysia,801
2020-07-15,Malaysia,952
2020-07-16,Malaysia,931
2020-07-17,Malaysia,578
2020-07-18,Malaysia,480
2020-07-19,Malaysia,575
2020-07-20,Malaysia,968
2020-07-21,Malaysia,879
2020-07-22,Malaysia,864
2020-07-23,Malaysia,862
2020-07-24,Malaysia,624
2020-07-25,Malaysia,383
2020-07-26,Malaysia,525
2020-07-27,Malaysia,768
2020-07-28,Malaysia,795
2020-07-29,Malaysia,733
2020-07-30,Malaysia,367
2020-07-31,Malaysia,75
2020-08-01,Malaysia,103
2020-08-02,Malaysia,100
2020-08-03,Malaysia,610
2020-08-04,Malaysia,651
2020-08-05,Malaysia,810
2020-08-06,Malaysia,604
2020-08-07,Malaysia,511
2020-08-08,Malaysia,269
2020-08-09,Malaysia,438
2020-08-10,Malaysia,899
2020-08-11,Malaysia,773
2020-08-12,Malaysia,814
2020-08-13,Malaysia,760
2020-08-14,Malaysia,492
2020-08-15,Malaysia,391
2020-08-16,Malaysia,441
2020-08-17,Malaysia,882
2020-08-18,Malaysia,625
2020-08-19,Malaysia,806
2020-08-20,Malaysia,143
2020-08-21,Malaysia,502
2020-08-22,Malaysia,205
2020-08-23,Malaysia,337
2020-08-24,Malaysia,1043
2020-08-25,Malaysia,838
2020-08-26,Malaysia,728
2020-08-27,Malaysia,703
2020-08-28,Malaysia,471
2020-08-29,Malaysia,249
2020-08-30,Malaysia,295
2020-08-31,Malaysia,166
2020-09-01,Malaysia,776
